idnew_table,eyes,eyebrows,forehead,nose,mouth,origin_value,userId,emotion_names
1,3,12,15,13,5,6,42,6
2,1,10,15,14,5,4,42,4
3,3,12,16,13,5,7,42,7
4,1,11,16,14,6,3,42,3
5,1,9,15,14,4,1,42,1
6,1,10,16,13,8,2,42,2
7,1,10,15,14,4,5,42,5
8,1,9,15,14,7,1,42,1
9,1,9,15,14,5,4,42,4
10,3,9,15,13,5,6,42,8
11,1,10,15,14,4,5,42,5
12,1,11,16,14,8,2,42,2
13,3,12,16,13,6,7,42,7
14,1,10,16,13,4,3,42,3
15,3,12,16,13,6,7,42,7
16,3,12,16,13,4,3,42,3
17,1,10,16,14,8,2,42,2
18,1,10,15,13,4,5,42,5
19,1,12,15,13,5,6,42,4
20,1,9,15,14,7,4,42,6
21,3,9,15,13,7,1,42,1
22,1,9,15,14,8,4,42,4
23,2,9,15,14,7,1,42,1
24,3,12,15,13,5,6,42,8
25,1,10,16,14,4,5,42,5
26,3,11,16,13,8,2,42,2
27,1,10,16,13,5,3,42,3
28,2,11,16,13,5,7,42,7
29,1,10,15,13,8,2,42,2
30,1,10,16,13,6,3,42,3
31,3,9,15,13,6,7,42,7
32,1,9,15,13,7,1,42,1
33,2,9,15,13,5,6,42,8
34,1,10,15,14,7,4,42,4
35,1,10,16,14,4,5,42,5
36,1,9,15,14,7,4,42,4
37,1,10,16,14,4,5,42,5
38,2,9,15,14,5,6,42,8
39,1,9,15,13,7,1,42,1
40,3,11,16,13,8,7,42,7
41,1,10,16,14,6,3,42,3
42,1,10,15,14,5,2,42,2
43,1,9,16,14,5,6,42,6
44,3,11,16,13,6,7,42,7
45,1,12,16,14,6,3,42,3
46,1,9,15,14,8,2,42,2
47,3,9,15,13,4,1,42,1
48,1,10,15,14,4,5,42,5
49,1,9,15,14,7,4,42,4
50,1,10,16,14,4,5,42,5
51,1,9,15,14,7,4,42,4
52,1,9,15,14,8,2,42,2
53,3,9,15,13,7,1,42,1
54,3,10,15,13,5,7,42,7
55,1,9,16,14,5,6,42,8
56,1,10,16,14,6,3,42,3
57,1,11,15,14,5,6,42,8
58,1,11,16,13,4,3,42,3
59,1,9,15,14,4,1,42,1
60,3,12,16,13,6,7,42,7
61,1,9,15,14,8,2,42,2
62,1,10,15,14,4,5,42,5
63,1,9,15,14,5,4,42,4
64,1,10,16,13,4,5,42,5
65,1,9,15,14,5,4,42,4
66,1,12,15,14,8,2,42,2
67,1,9,15,14,4,1,42,1
68,2,9,15,14,6,7,42,7
69,3,12,16,14,5,6,42,6
70,1,11,16,14,6,3,42,3
71,1,12,15,14,5,6,42,6
72,3,12,15,14,4,3,42,3
73,2,12,15,13,5,7,42,7
74,1,9,15,14,7,1,42,1
75,1,9,15,14,5,2,42,2
76,1,9,15,14,7,4,42,4
77,1,10,15,14,4,5,42,5
78,1,10,16,14,4,5,42,5
79,1,12,16,14,8,4,42,4
80,1,12,16,14,8,2,42,2
81,1,9,15,13,7,1,42,1
82,3,12,15,13,6,7,42,7
83,1,9,15,13,6,3,42,3
84,1,12,15,14,5,6,42,8
85,1,10,16,14,6,3,42,3
86,3,11,16,13,7,7,42,7
87,1,12,15,14,5,6,42,8
88,1,9,15,14,7,1,42,1
89,1,10,15,13,4,5,42,5
90,2,11,15,13,8,2,42,2
91,1,9,15,14,5,4,42,4
92,1,9,15,14,7,1,42,1
93,1,12,15,14,6,6,42,6
94,3,10,15,14,7,1,42,1
95,1,12,15,13,5,7,42,7
96,3,9,15,13,7,1,42,1
97,1,9,15,13,5,2,42,2
98,3,9,15,14,7,1,42,1
99,1,12,16,14,8,2,42,2
100,1,9,15,14,6,3,42,3
101,3,9,15,14,7,1,42,1
102,1,12,15,14,6,3,42,3
103,1,12,16,14,6,3,42,3
