idnew_table,eyes,eyebrows,forehead,nose,mouth,origin_value,userId,emotion_names
1,3,12,15,13,5,6,41,6
2,1,10,15,14,5,4,41,4
3,3,12,16,13,5,7,41,8
4,1,11,16,14,6,3,41,3
5,1,9,15,14,4,1,41,1
6,1,10,16,13,8,2,41,2
7,1,10,15,14,4,5,41,5
8,1,9,15,14,7,1,41,1
9,1,9,15,14,5,4,41,4
10,3,9,15,13,5,6,41,6
11,1,10,15,14,4,5,41,5
12,1,11,16,14,8,2,41,2
13,3,12,16,13,6,7,41,8
14,1,10,16,13,4,3,41,3
15,3,12,16,13,6,7,41,7
16,3,12,16,13,4,3,41,3
17,1,10,16,14,8,2,41,2
18,1,10,15,13,4,5,41,5
19,1,12,15,13,5,6,41,6
20,1,9,15,14,7,4,41,4
21,3,9,15,13,7,1,41,1
22,1,9,15,14,8,4,41,4
23,2,9,15,14,7,1,41,1
24,3,12,15,13,5,6,41,6
25,1,10,16,14,4,5,41,5
26,3,11,16,13,8,2,41,2
27,1,10,16,13,5,3,41,3
28,2,11,16,13,5,7,41,8
29,1,10,15,13,8,2,41,2
30,1,10,16,13,6,3,41,3
31,3,9,15,13,6,7,41,8
32,1,9,15,13,7,1,41,1
33,2,9,15,13,5,6,41,6
34,1,10,15,14,7,4,41,4
35,1,10,16,14,4,5,41,5
36,1,9,15,14,7,4,41,4
37,1,10,16,14,4,5,41,5
38,2,9,15,14,5,6,41,6
39,1,9,15,13,7,1,41,1
40,3,11,16,13,8,7,41,8
41,1,10,16,14,6,3,41,3
42,1,10,15,14,5,2,41,2
43,1,9,16,14,5,6,41,6
44,3,11,16,13,6,7,41,8
45,1,12,16,14,6,3,41,3
46,1,9,15,14,8,2,41,2
47,3,9,15,13,4,1,41,1
48,1,10,15,14,4,5,41,5
49,1,9,15,14,7,4,41,4
50,1,10,16,14,4,5,41,5
51,1,9,15,14,7,4,41,4
52,1,9,15,14,8,2,41,2
53,3,9,15,13,7,1,41,1
54,3,10,15,13,5,7,41,8
55,1,9,16,14,5,6,41,6
56,1,10,16,14,6,3,41,3
57,1,11,15,14,5,6,41,6
58,1,11,16,13,4,3,41,3
59,1,9,15,14,4,1,41,1
60,3,12,16,13,6,7,41,7
61,1,9,15,14,8,2,41,2
62,1,10,15,14,4,5,41,5
63,1,9,15,14,5,4,41,4
64,1,10,16,13,4,5,41,5
65,1,9,15,14,5,4,41,4
66,1,12,15,14,8,2,41,2
67,1,9,15,14,4,1,41,1
68,2,9,15,14,6,7,41,7
69,3,12,16,14,5,6,41,6
70,1,11,16,14,6,3,41,3
71,1,12,15,14,5,6,41,6
72,3,12,15,14,4,3,41,3
73,2,12,15,13,5,7,41,8
74,1,9,15,14,7,1,41,1
75,1,9,15,14,5,2,41,2
76,1,9,15,14,7,4,41,4
77,1,10,15,14,4,5,41,5
78,1,10,16,14,4,5,41,5
79,1,12,16,14,8,4,41,4
80,1,12,16,14,8,2,41,2
81,1,9,15,13,7,1,41,1
82,3,12,15,13,6,7,41,8
83,1,9,15,13,6,3,41,3
84,1,12,15,14,5,6,41,6
85,1,10,16,14,6,3,41,3
86,3,11,16,13,7,7,41,8
87,1,12,15,14,5,6,41,6
88,1,9,15,14,7,1,41,1
89,1,10,15,13,4,5,41,5
90,2,11,15,13,8,2,41,2
91,1,9,15,14,5,4,41,4
92,1,9,15,14,7,1,41,1
93,1,12,15,14,6,6,41,6
94,3,10,15,14,7,1,41,1
95,1,12,15,13,5,7,41,8
96,3,9,15,13,7,1,41,1
97,1,9,15,13,5,2,41,2
98,3,9,15,14,7,1,41,1
99,1,12,16,14,8,2,41,2
100,1,9,15,14,6,3,41,3
101,3,9,15,14,7,1,41,1
102,1,12,15,14,6,3,41,3
103,1,12,16,14,6,3,41,3
