idnew_table,eyes,eyebrows,forehead,nose,mouth,origin_value,userId,emotion_names
1,3,12,15,13,5,6,44,6
2,1,10,15,14,5,4,44,1
3,3,12,16,13,5,7,44,8
4,1,11,16,14,6,3,44,3
5,1,9,15,14,4,1,44,1
6,1,10,16,13,8,2,44,2
7,1,10,15,14,4,5,44,5
8,1,9,15,14,7,1,44,1
9,1,9,15,14,5,4,44,8
10,3,9,15,13,5,6,44,4
11,1,10,15,14,4,5,44,5
12,1,11,16,14,8,2,44,2
13,3,12,16,13,6,7,44,8
14,1,10,16,13,4,3,44,7
15,3,12,16,13,6,7,44,6
16,3,12,16,13,4,3,44,7
17,1,10,16,14,8,2,44,2
18,1,10,15,13,4,5,44,5
19,1,12,15,13,5,6,44,4
20,1,9,15,14,7,4,44,1
21,3,9,15,13,7,1,44,1
22,1,9,15,14,8,4,44,8
23,2,9,15,14,7,1,44,1
24,3,12,15,13,5,6,44,6
25,1,10,16,14,4,5,44,5
26,3,11,16,13,8,2,44,2
27,1,10,16,13,5,3,44,3
28,2,11,16,13,5,7,44,8
29,1,10,15,13,8,2,44,6
30,1,10,16,13,6,3,44,3
31,3,9,15,13,6,7,44,6
32,1,9,15,13,7,1,44,1
33,2,9,15,13,5,6,44,6
34,1,10,15,14,7,4,44,4
35,1,10,16,14,4,5,44,5
36,1,9,15,14,7,4,44,4
37,1,10,16,14,4,5,44,5
38,2,9,15,14,5,6,44,6
39,1,9,15,13,7,1,44,1
40,3,11,16,13,8,7,44,7
41,1,10,16,14,6,3,44,3
42,1,10,15,14,5,2,44,6
43,1,9,16,14,5,6,44,8
44,3,11,16,13,6,7,44,6
45,1,12,16,14,6,3,44,3
46,1,9,15,14,8,2,44,2
47,3,9,15,13,4,1,44,1
48,1,10,15,14,4,5,44,5
49,1,9,15,14,7,4,44,1
50,1,10,16,14,4,5,44,5
51,1,9,15,14,7,4,44,4
52,1,9,15,14,8,2,44,2
53,3,9,15,13,7,1,44,1
54,3,10,15,13,5,7,44,6
55,1,9,16,14,5,6,44,8
56,1,10,16,14,6,3,44,2
57,1,11,15,14,5,6,44,6
58,1,11,16,13,4,3,44,6
59,1,9,15,14,4,1,44,1
60,3,12,16,13,6,7,44,8
61,1,9,15,14,8,2,44,2
62,1,10,15,14,4,5,44,5
63,1,9,15,14,5,4,44,4
64,1,10,16,13,4,5,44,5
65,1,9,15,14,5,4,44,4
66,1,12,15,14,8,2,44,2
67,1,9,15,14,4,1,44,1
68,2,9,15,14,6,7,44,7
69,3,12,16,14,5,6,44,6
70,1,11,16,14,6,3,44,3
71,1,12,15,14,5,6,44,8
72,3,12,15,14,4,3,44,3
73,2,12,15,13,5,7,44,6
74,1,9,15,14,7,1,44,1
75,1,9,15,14,5,2,44,2
76,1,9,15,14,7,4,44,1
77,1,10,15,14,4,5,44,5
78,1,10,16,14,4,5,44,5
79,1,12,16,14,8,4,44,2
80,1,12,16,14,8,2,44,2
86,3,11,16,13,7,7,44,7
87,1,12,15,14,5,6,44,6
88,1,9,15,14,7,1,44,1
89,1,10,15,13,4,5,44,5
90,2,11,15,13,8,2,44,2
91,1,9,15,14,5,4,44,4
92,1,9,15,14,7,1,44,1
93,1,12,15,14,6,6,44,6
94,3,10,15,14,7,1,44,1
95,1,12,15,13,5,7,44,7
96,3,9,15,13,7,1,44,1
97,1,9,15,13,5,2,44,6
98,3,9,15,14,7,1,44,1
99,1,12,16,14,8,2,44,2
100,1,9,15,14,6,3,44,7
101,3,9,15,14,7,1,44,1
102,1,12,15,14,6,3,44,7
103,1,12,16,14,6,3,44,3
