idnew_table,eyes,eyebrows,forehead,nose,mouth,origin_value,userId,emotion_names
1,3,12,15,13,5,6,37,6
2,1,10,15,14,5,4,37,4
3,3,12,16,13,5,7,37,7
4,1,11,16,14,6,3,37,3
5,1,9,15,14,4,1,37,1
6,1,10,16,13,8,2,37,2
7,1,10,15,14,4,5,37,5
8,1,9,15,14,7,1,37,8
9,1,9,15,14,5,4,37,7
10,3,9,15,13,5,6,37,4
11,1,10,15,14,4,5,37,6
12,1,11,16,14,8,2,37,8
13,3,12,16,13,6,7,37,5
14,1,10,16,13,4,3,37,1
15,3,12,16,13,6,7,37,2
16,3,12,16,13,4,3,37,6
17,1,10,16,14,8,2,37,7
18,1,10,15,13,4,5,37,5
19,1,12,15,13,5,6,37,6
20,1,9,15,14,7,4,37,1
21,3,9,15,13,7,1,37,4
22,1,9,15,14,8,4,37,7
23,2,9,15,14,7,1,37,1
24,3,12,15,13,5,6,37,2
25,1,10,16,14,4,5,37,8
26,3,11,16,13,8,2,37,2
27,1,10,16,13,5,3,37,3
28,2,11,16,13,5,7,37,7
29,1,10,15,13,8,2,37,7
30,1,10,16,13,6,3,37,6
31,3,9,15,13,6,7,37,8
32,1,9,15,13,7,1,37,4
33,2,9,15,13,5,6,37,1
34,1,10,15,14,7,4,37,7
35,1,10,16,14,4,5,37,5
36,1,9,15,14,7,4,37,4
37,1,10,16,14,4,5,37,5
38,2,9,15,14,5,6,37,2
39,1,9,15,13,7,1,37,4
40,3,11,16,13,8,7,37,6
41,1,10,16,14,6,3,37,3
42,1,10,15,14,5,2,37,7
43,1,9,16,14,5,6,37,2
44,3,11,16,13,6,7,37,7
45,1,12,16,14,6,3,37,3
46,1,9,15,14,8,2,37,7
47,3,9,15,13,4,1,37,1
48,1,10,15,14,4,5,37,5
49,1,9,15,14,7,4,37,4
50,1,10,16,14,4,5,37,5
51,1,9,15,14,7,4,37,1
52,1,9,15,14,8,2,37,8
53,3,9,15,13,7,1,37,1
54,3,10,15,13,5,7,37,6
55,1,9,16,14,5,6,37,7
56,1,10,16,14,6,3,37,3
57,1,11,15,14,5,6,37,4
58,1,11,16,13,4,3,37,7
59,1,9,15,14,4,1,37,1
60,3,12,16,13,6,7,37,8
61,1,9,15,14,8,2,37,2
62,1,10,15,14,4,5,37,5
63,1,9,15,14,5,4,37,4
64,1,10,16,13,4,5,37,3
65,1,9,15,14,5,4,37,7
66,1,12,15,14,8,2,37,7
67,1,9,15,14,4,1,37,1
68,2,9,15,14,6,7,37,8
69,3,12,16,14,5,6,37,6
70,1,11,16,14,6,3,37,3
71,1,12,15,14,5,6,37,4
72,3,12,15,14,4,3,37,3
73,2,12,15,13,5,7,37,7
74,1,9,15,14,7,1,37,1
75,1,9,15,14,5,2,37,2
76,1,9,15,14,7,4,37,4
77,1,10,15,14,4,5,37,5
78,1,10,16,14,4,5,37,8
79,1,12,16,14,8,4,37,2
80,1,12,16,14,8,2,37,2
81,1,9,15,13,7,1,37,4
82,3,12,15,13,6,7,37,6
83,1,9,15,13,6,3,37,7
84,1,12,15,14,5,6,37,6
85,1,10,16,14,6,3,37,6
86,3,11,16,13,7,7,37,7
87,1,12,15,14,5,6,37,2
88,1,9,15,14,7,1,37,1
89,1,10,15,13,4,5,37,5
90,2,11,15,13,8,2,37,2
91,1,9,15,14,5,4,37,6
92,1,9,15,14,7,1,37,4
93,1,12,15,14,6,6,37,7
94,3,10,15,14,7,1,37,1
95,1,12,15,13,5,7,37,6
96,3,9,15,13,7,1,37,1
97,1,9,15,13,5,2,37,7
98,3,9,15,14,7,1,37,4
99,1,12,16,14,8,2,37,2
100,1,9,15,14,6,3,37,5
101,3,9,15,14,7,1,37,1
102,1,12,15,14,6,3,37,6
