idnew_table,eyes,eyebrows,forehead,nose,mouth,origin_value,userId,emotion_names
1,3,12,15,13,5,6,15,angry
2,1,10,15,14,5,4,15,undefined
3,3,12,16,13,5,7,15,contempt
4,1,11,16,14,6,3,15,undefined
5,1,9,15,14,4,1,15,happy
6,1,10,16,13,8,2,15,sad
7,1,10,15,14,4,5,15,surprised
8,1,9,15,14,7,1,15,happy
9,1,9,15,14,5,4,15,contempt
10,3,9,15,13,5,6,15,angry
11,1,10,15,14,4,5,15,surprised
12,1,11,16,14,8,2,15,sad
13,3,12,16,13,6,7,15,disgust
14,1,10,16,13,4,3,15,undefined
15,3,12,16,13,6,7,15,disgust
16,3,12,16,13,4,3,15,angry
17,1,10,16,14,8,2,15,sad
18,1,10,15,13,4,5,15,surprised
19,1,12,15,13,5,6,15,contempt
20,1,9,15,14,7,4,15,undefined
21,3,9,15,13,7,1,15,happy
22,1,9,15,14,8,4,15,happy
23,2,9,15,14,7,1,15,happy
24,3,12,15,13,5,6,15,disgust
25,1,10,16,14,4,5,15,surprised
26,3,11,16,13,8,2,15,sad
27,1,10,16,13,5,3,15,angry
28,2,11,16,13,5,7,15,disgust
29,1,10,15,13,8,2,15,undefined
30,1,10,16,13,6,3,15,fear
31,3,9,15,13,6,7,15,contempt
32,1,9,15,13,7,1,15,happy
33,2,9,15,13,5,6,15,angry
34,1,10,15,14,7,4,15,undefined
35,1,10,16,14,4,5,15,fear
36,1,9,15,14,7,4,15,contempt
37,1,10,16,14,4,5,15,surprised
38,2,9,15,14,5,6,15,angry
39,1,9,15,13,7,1,15,happy
40,3,11,16,13,8,7,15,disgust
41,1,10,16,14,6,3,15,fear
42,1,10,15,14,5,2,15,sad
43,1,9,16,14,5,6,15,angry
44,3,11,16,13,6,7,15,disgust
45,1,12,16,14,6,3,15,fear
46,1,9,15,14,8,2,15,undefined
47,3,9,15,13,4,1,15,happy
48,1,10,15,14,4,5,15,surprised
49,1,9,15,14,7,4,15,angry
50,1,10,16,14,4,5,15,surprised
51,1,9,15,14,7,4,15,contempt
52,1,9,15,14,8,2,15,sad
53,3,9,15,13,7,1,15,happy
54,3,10,15,13,5,7,15,disgust
55,1,9,16,14,5,6,15,angry
56,1,10,16,14,6,3,15,fear
57,1,11,15,14,5,6,15,angry
58,1,11,16,13,4,3,15,undefined
59,1,9,15,14,4,1,15,happy
60,3,12,16,13,6,7,15,disgust
61,1,9,15,14,8,2,15,sad
62,1,10,15,14,4,5,15,surprised
63,1,9,15,14,5,4,15,contempt
64,1,10,16,13,4,5,15,fear
65,1,9,15,14,5,4,15,contempt
66,1,12,15,14,8,2,15,sad
67,1,9,15,14,4,1,15,happy
68,2,9,15,14,6,7,15,disgust
69,3,12,16,14,5,6,15,angry
70,1,11,16,14,6,3,15,fear
71,1,12,15,14,5,6,15,disgust
72,3,12,15,14,4,3,15,fear
73,2,12,15,13,5,7,15,contempt
74,1,9,15,14,7,1,15,happy
75,1,9,15,14,5,2,15,sad
76,1,9,15,14,7,4,15,contempt
77,1,10,15,14,4,5,15,surprised
78,1,10,16,14,4,5,15,surprised
79,1,12,16,14,8,4,15,sad
80,1,12,16,14,8,2,15,undefined
81,1,9,15,13,7,1,15,happy
82,3,12,15,13,6,7,15,undefined
83,1,9,15,13,6,3,15,undefined
84,1,12,15,14,5,6,15,angry
85,1,10,16,14,6,3,15,undefined
86,3,11,16,13,7,7,15,disgust
87,1,12,15,14,5,6,15,angry
88,1,9,15,14,7,1,15,happy
89,1,10,15,13,4,5,15,surprised
90,2,11,15,13,8,2,15,sad
91,1,9,15,14,5,4,15,undefined
92,1,9,15,14,7,1,15,happy
93,1,12,15,14,6,6,15,angry
94,3,10,15,14,7,1,15,happy
95,1,12,15,13,5,7,15,disgust
96,3,9,15,13,7,1,15,happy
97,1,9,15,13,5,2,15,undefined
98,3,9,15,14,7,1,15,happy
99,1,12,16,14,8,2,15,sad
100,1,9,15,14,6,3,15,angry
101,3,9,15,14,7,1,15,happy
102,1,12,15,14,6,3,15,contempt
103,1,12,16,14,6,3,15,disgust
103,1,12,16,14,6,3,15,disgust
103,1,12,16,14,6,3,15,fear
103,1,12,16,14,6,3,15,undefined
103,1,12,16,14,6,3,15,angry
103,1,12,16,14,6,3,15,angry
103,1,12,16,14,6,3,15,angry
103,1,12,16,14,6,3,15,angry
103,1,12,16,14,6,3,15,angry
103,1,12,16,14,6,3,15,angry
103,1,12,16,14,6,3,15,angry
103,1,12,16,14,6,3,15,angry
103,1,12,16,14,6,3,15,angry
103,1,12,16,14,6,3,15,angry
103,1,12,16,14,6,3,15,angry
103,1,12,16,14,6,3,15,angry
103,1,12,16,14,6,3,15,fear
103,1,12,16,14,6,3,15,fear
103,1,12,16,14,6,3,15,fear
103,1,12,16,14,6,3,15,angry
103,1,12,16,14,6,3,15,angry
103,1,12,16,14,6,3,15,angry
103,1,12,16,14,6,3,15,fear
103,1,12,16,14,6,3,15,fear
103,1,12,16,14,6,3,15,fear
103,1,12,16,14,6,3,15,fear
103,1,12,16,14,6,3,15,fear
103,1,12,16,14,6,3,15,sad
103,1,12,16,14,6,3,15,fear
103,1,12,16,14,6,3,15,fear
103,1,12,16,14,6,3,15,fear
103,1,12,16,14,6,3,15,surprised
